product_id,product_title,cat_slugs,origin_slugs,brand_slugs,ingredient_slugs,concerns_assigned,confidence,skip_reason,notes
3101,Nacific Glow Intensive Bubble Toner 145 ml,"korean-beauty,toners-mists",south-korea,nacific,,brightening,MED,,"L3:""glow""→brightening"
3137,Coxir Vita C Bright Serum 50ml,"korean-beauty,serums-ampoules-essences",south-korea,coxir,,SKIP,LOW,,L4:skincare-fallback
3273,BY WISHTREND Polyphenols in Propolis 15% Ampoule 30ml,"korean-beauty,serums-ampoules-essences",south-korea,by-wishtrend,propolis,acne-blemish|brightening,MED,,"L2:propolis→acne-blemish,brightening"
3361,COREANA Orthia Gold Ginseng Premium Snail Cream,"hand-care,hair-personal-care,bath-body",south-korea,coreana,ginseng,anti-aging-repair|brightening,MED,,"L2:ginseng→anti-aging-repair,brightening"
3363,LANEIGE Lip Sleeping Mask (Berry) 15g,"makeup-cosmetics,face-masks,korean-beauty,lips,lip-balm-care",south-korea,laneige,,SKIP,LOW,,L4:skincare-fallback
3364,LANEIGE Lip Sleeping Mask Berry 3g,"makeup-cosmetics,face-masks,korean-beauty,lips,lip-balm-care",south-korea,laneige,,SKIP,LOW,,L4:skincare-fallback
3509,3W CLINIC Pure Natural Brown Rice Cleansing Foam 100ml,"korean-beauty,face-cleansers",south-korea,3w-clinic,,SKIP,LOW,,L4:skincare-fallback
3630,Confume Argan Damage Hair Treatment 200 gm,"hair-care,hair-personal-care,hair-treatments",south-korea,confume,,SKIP,SKIP,no-signal,
3671,Kwailnara Confume Argan Gold Moisture Body Lotion 500 gm,"body-lotion,hair-personal-care,bath-body",south-korea,confume,,SKIP,LOW,,L4:skincare-fallback
3705,3W Clinic Black Pearl Eye Cream 40ml,"eye-care,korean-beauty",south-korea,3w-clinic,,SKIP,LOW,,L4:skincare-fallback
3709,DABO Body Lotion Tropical Cocktail 500ml,"body-lotion,korean-beauty,hair-personal-care,bath-body",south-korea,dabo,,SKIP,LOW,,L4:skincare-fallback
3710,DABO Natural Rich Massage Cream Green Tea 200ml,korean-beauty,south-korea,dabo,tea-tree,acne-blemish,MED,,L2:tea-tree→acne-blemish
3750,ACWELL Licorice pH Balancing Cleansing Toner,"korean-beauty,toners-mists",south-korea,acwell,,SKIP,LOW,,L4:skincare-fallback
3816,TIA'M Snail & Azulene Sleeping Mask 80ml,"face-masks,korean-beauty",south-korea,tiam,,SKIP,LOW,,L4:skincare-fallback
3817,Tiam My Signature Vita B5 Toner 180ml,"korean-beauty,toners-mists",south-korea,tiam,,SKIP,LOW,,L4:skincare-fallback
3821,Dear Klairs Freshly Juiced Vitamin E Mask 15ml,korean-beauty,south-korea,dear-klairs,vitamin-e,anti-aging-repair|dryness-hydration,MED,,"L2:vitamin-e→dryness-hydration,anti-aging-repair"
3822,KLAIRS Supple Preparation Facial Toner 30ml,"korean-beauty,toners-mists",south-korea,dear-klairs,,SKIP,LOW,,L4:skincare-fallback
3956,NACIFIC Fresh Herb Origin Kit,"korean-beauty,emart-combos",south-korea,nacific,,SKIP,LOW,,L4:skincare-fallback
3962,NEOGEN Dermalogy Real Vita C Serum 32G,"korean-beauty,serums-ampoules-essences",south-korea,neogen,,SKIP,LOW,,L4:skincare-fallback
4003,NEOGEN Dermalogy Real Ferment Micro Serum 30ML,"korean-beauty,serums-ampoules-essences",south-korea,neogen,,SKIP,LOW,,L4:skincare-fallback
4013,I'M FROM Fig Scrub Mask 120g,korean-beauty,south-korea,im-from,,SKIP,LOW,,L4:skincare-fallback
4061,Skinfood Tomato Jelly Tint Lip #3 Orange Tomato,korean-beauty,south-korea,skinfood,,SKIP,LOW,,L4:skincare-fallback
4089,RYO Hair Loss Care Shampoo For Oily Scalp 400ml,"shampoos,korean-beauty,hair-care,hair-personal-care",south-korea,ryo,,SKIP,LOW,,L4:skincare-fallback
4090,Cosrx Ultimate Nourishing Rice Overnight Mask 60ml,"face-masks,korean-beauty",south-korea,cosrx,,SKIP,LOW,,L4:skincare-fallback
4139,Nella White Snow Fermented Underarm Whitening Cream With Green Tea 50ml,"hair-personal-care,personal-hygiene",south-korea,nella,tea-tree,acne-blemish|brightening,MED,,"L2:tea-tree→acne-blemish + L3:""whitening""→brightening"
4140,Mise -En-Scene Perfect Hair Serum 80ml,"korean-beauty,hair-oil,hair-care,serums-ampoules-essences,hair-personal-care",south-korea,mise-en-scene,,SKIP,LOW,,L4:skincare-fallback
4147,Jumiso Let's Go! Kit,"korean-beauty,emart-combos",south-korea,jumiso,,SKIP,LOW,,L4:skincare-fallback
4150,MISE EN SCENE Perfect Hair Serum Rose Perfume 80ml,"fragrances,korean-beauty,hair-oil,hair-care,serums-ampoules-essences,hair-personal-care",south-korea,mise-en-scene,,SKIP,SKIP,non-skin-product,
4172,Innisfree Bija Trouble Cleansing Foam 150ml,"korean-beauty,face-cleansers",south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
4260,Cosrx Honey Glow Kit Propolis Trial Kit 3 Step,"skincare-kit-set,korean-beauty,emart-combos",south-korea,cosrx,propolis,acne-blemish|brightening,MED,,"L2:propolis→acne-blemish,brightening + L3:""glow""→brightening"
4285,SOME BY MI Cica Peptide Anti-Hair Loss Derma Scalp Shampoo 285ml,"shampoos,korean-beauty,hair-care,hair-personal-care",south-korea,some-by-mi,"centella,peptide",acne-blemish|anti-aging-repair|sensitivity|wrinkle,MED,,"L2:centella→sensitivity,acne-blemish|peptide→anti-aging-repair,wrinkle"
4286,SOME BY MI Cica Peptide Anti Hair Loss Derma Scalp Treatment 50ml,"korean-beauty,hair-care,hair-personal-care,hair-treatments",south-korea,some-by-mi,"centella,peptide",acne-blemish|anti-aging-repair|sensitivity|wrinkle,MED,,"L2:centella→sensitivity,acne-blemish|peptide→anti-aging-repair,wrinkle"
4287,SOME BY MI Cica Peptide Anti Hair Loss Derma Scalp Tonic 150ml,"korean-beauty,hair-care,hair-personal-care,hair-treatments",south-korea,some-by-mi,"centella,peptide",acne-blemish|anti-aging-repair|sensitivity|wrinkle,MED,,"L2:centella→sensitivity,acne-blemish|peptide→anti-aging-repair,wrinkle"
4329,COSRX Full Fit Propolis Honey Overnight Mask 60ml,"face-masks,korean-beauty",south-korea,cosrx,propolis,acne-blemish|brightening,MED,,"L2:propolis→acne-blemish,brightening"
4375,3W Clinic Honey Eye Cream 40ml,"eye-care,korean-beauty",south-korea,3w-clinic,,SKIP,LOW,,L4:skincare-fallback
4376,3W Clinic Horse Oil Eye Cream 40ml,"eye-care,korean-beauty",south-korea,3w-clinic,,SKIP,LOW,,L4:skincare-fallback
26091,Benton Let`s Carrot Multi Oil 30ml,korean-beauty,south-korea,benton,,SKIP,LOW,,L4:skincare-fallback
26101,CeraVe Repairing Hand Cream 50ml,"hand-care,hair-personal-care,bath-body",usa,cerave,,SKIP,LOW,,L4:skincare-fallback
26194,Secret Key Snow White milky Pack 120g,korean-beauty,south-korea,secret-key,,SKIP,LOW,,L4:skincare-fallback
26259,The Body Shop Himalayan Charcoal Purifying Glow Mask 75ml,,uk,the-body-shop,,brightening,MED,,"L3:""glow""→brightening"
26327,Welcos Confume Argan Hair Shampoo 750 ml,"shampoos,hair-care,hair-personal-care",south-korea,confume,,SKIP,SKIP,no-signal,
26332,Confume Argan Smoothing Hair Essence 500 gm,"korean-beauty,hair-oil,hair-care,serums-ampoules-essences,hair-personal-care",south-korea,confume,,SKIP,LOW,,L4:skincare-fallback
26334,Confume Argan Treatment Oil (120 ml + 25 ml),korean-beauty,south-korea,confume,,SKIP,LOW,,L4:skincare-fallback
26366,Simple Purifying Gel Wash (150ml),,uk,simple,,SKIP,LOW,,L4:skincare-fallback
26368,Simple Daily Detox Purifying Face Wash 150ml,face-cleansers,uk,simple,,SKIP,LOW,,L4:skincare-fallback
26371,Simple Regeneration Facial Wash Age Resisting 150ml,face-cleansers,uk,simple,,SKIP,LOW,,L4:skincare-fallback
26400,Tiam Anti-Blemish Body Lotion 200ml,"body-lotion,korean-beauty,hair-personal-care,bath-body",south-korea,tiam,,acne-blemish,MED,,"L3:""blemish""→acne-blemish"
26618,HTS Anti Hair Loss Scalp Tonic 150ml,"hair-care,hair-personal-care,hair-treatments",south-korea,hts-anti,,SKIP,LOW,,L4:skincare-fallback
26938,THANK YOU FARMER Rice Pure Clay Mask To Foam Cleanser 150ml,"wash-off-mask,korean-beauty,face-cleansers",south-korea,thank-you-farmer,,SKIP,LOW,,L4:skincare-fallback
26971,Mise en scene Perfect Original Serum Shampoo 680ml,"shampoos,korean-beauty,hair-care,hair-personal-care",south-korea,mise-en-scene,,SKIP,LOW,,L4:skincare-fallback
27022,3W clinic relaxing body lotion Camellia 550ml,"body-lotion,korean-beauty,hair-personal-care,bath-body",south-korea,3w-clinic,,SKIP,LOW,,L4:skincare-fallback
27055,The Face Shop Herbday 365 Cleansing Foam Aloe & Green Tea 170ml,"korean-beauty,face-cleansers",south-korea,the-face-shop,tea-tree,acne-blemish,MED,,L2:tea-tree→acne-blemish
27058,WELCOS Body Phren Apple Cocktail Shower Gel 732g,"body-wash,hair-personal-care,bath-body",south-korea,welcos,,SKIP,LOW,,L4:skincare-fallback
27064,Mise en Scene Scalp care shampoo 680ml,"shampoos,korean-beauty,hair-care,hair-personal-care,hair-treatments",south-korea,mise-en-scene,,SKIP,LOW,,L4:skincare-fallback
27065,Dabo Elegance Love Body Lotion 500ml,"body-lotion,korean-beauty,hair-personal-care,bath-body",south-korea,dabo,,SKIP,LOW,,L4:skincare-fallback
27066,Dabo White Musk Body Lotion 500ml,"body-lotion,korean-beauty,hair-personal-care,bath-body",south-korea,dabo,,SKIP,LOW,,L4:skincare-fallback
27070,DABO Slimming Hot GEL Anti Cellulite Slim Body Massage Cream 200g,"korean-beauty,health-wellbeing,general-health",south-korea,dabo,,SKIP,SKIP,non-skin-product,
27078,Kosmedica Organic Clean Gel Intimate Wash 80gm,"hair-personal-care,personal-hygiene",south-korea,kosmedica-organic-clean,,SKIP,SKIP,non-skin-product,
27082,JUMISO Rich Nourishment Sheet Mask 26ml,"face-masks,korean-beauty",south-korea,jumiso,,SKIP,LOW,,L4:skincare-fallback
27111,WELCOS Body Phren Lemon Glass Shower Gel 732g,"body-wash,hair-personal-care,bath-body",south-korea,welcos,,SKIP,LOW,,L4:skincare-fallback
27112,WELCOS Body Phren Shower Gel (Oriental Rose) 732g,"body-wash,hair-personal-care,bath-body",south-korea,welcos,,SKIP,LOW,,L4:skincare-fallback
27114,Medb Daily Snail Cream 100ml,"hand-care,hair-personal-care,bath-body",south-korea,medb,,SKIP,LOW,,L4:skincare-fallback
27117,3W CLINIC Enrich Lovely Foot Cream 100ml,korean-beauty,south-korea,3w-clinic,,SKIP,LOW,,L4:skincare-fallback
27142,Skylake Oriental Herb Houttuynia Cordata Hair Tonic,"hair-care,hair-personal-care,hair-treatments",south-korea,skylake-oriental-herb,,SKIP,LOW,,L4:skincare-fallback
27167,3W Clinic Green Tea Foam Cleansing (100ml),korean-beauty,south-korea,3w-clinic,tea-tree,acne-blemish,MED,,L2:tea-tree→acne-blemish
27206,Benton SNAIL BEE ULTIMATE SERUM 35 ML,"korean-beauty,serums-ampoules-essences",south-korea,benton,,SKIP,LOW,,L4:skincare-fallback
27255,innisfree Black Tea Trial Kit 4pcs,"skincare-kit-set,korean-beauty",south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
27256,Innisfree Black Tea Youth Enhancing Ampoule 30 ml,"korean-beauty,serums-ampoules-essences",south-korea,innisfree,,SKIP,LOW,,L4:skincare-fallback
27258,Cerave Foaming Cleanser for Normal to Oily Skin 236ml (UK Version),,usa,cerave,,SKIP,LOW,,L4:skincare-fallback
27298,Banila co. Clean It Zero Cleansing Balm Nourishing 100ml,"makeup-cosmetics,korean-beauty,makeup-remover",south-korea,banila-co,,SKIP,LOW,,L4:skincare-fallback
27300,SOME BY MI Total Care Serum Trial Kit (4Pcs),"skincare-kit-set,korean-beauty,serums-ampoules-essences",south-korea,some-by-mi,,SKIP,LOW,,L4:skincare-fallback
31919,Technic Almond 24 False Nails With Glue - Gloss Purple,,uk,technic-cosmetics,,SKIP,SKIP,non-skin-product,
31924,Technic Stiletto 24 False Nails With Glue - Gloss Red,,uk,technic-cosmetics,,SKIP,SKIP,non-skin-product,
31925,Technic Squareletto 24 False Nails With Glue - Rose Gold Glitter,"makeup-cosmetics,face-makeup",uk,technic-cosmetics,,SKIP,SKIP,non-skin-product,
31944,Maybelline Fit Me Matte Liquid Foundation SPF22 - Classic Ivory 120 - 30ml,"makeup-cosmetics,foundation",usa,maybelline,,SKIP,SKIP,makeup-only,
31947,Maybelline Fit Me Matte Liquid Foundation SPF22 - Wram Nude 128 - 30ml,"makeup-cosmetics,foundation",usa,maybelline,,SKIP,SKIP,makeup-only,
32647,Athena Beauty Cosmetic Pads 120pcs,,china,athena,,SKIP,SKIP,no-signal,
34069,The Body Shop Guarana & Coffee Energising Cleanser For Men - 150ml,,uk,the-body-shop,,SKIP,LOW,,L4:skincare-fallback
34073,Banilla Co Clean It Zero Purifying Cleansing Balm - 100ml,"makeup-cosmetics,makeup-remover",south-korea,banilla-co,,SKIP,LOW,,L4:skincare-fallback
34080,Simple Kind To Skin Cleansing Facial Wipes 25 Wipes,"mother-baby-care,diapers-wipes",uk,simple,,SKIP,LOW,,L4:skincare-fallback
35456,Boots Everyday Cucumber Face Wash 150ml,face-cleansers,uk,boots,,SKIP,LOW,,L4:skincare-fallback
35741,Bioré Charcoal Whipped Purifying Detox Face Mask 110ge,japanese-beauty,japan,biore,,SKIP,LOW,,L4:skincare-fallback
35862,Farlin Baby Wet Wipes Anti rash 85 pcs,"mother-baby-care,diapers-wipes",taiwan,farlin-baby-wet,,SKIP,SKIP,non-skin-product,
35942,Savlon Wet Wipes 80Pcs,"mother-baby-care,diapers-wipes",bangladesh,savlon-wet-wipes,,SKIP,SKIP,non-skin-product,
35946,Cetaphil Baby Gentle Wash 230ml GR,,usa,cetaphil,,SKIP,SKIP,no-signal,
35952,Biore Daily Detox Cleanser Face Wash 200ml,"japanese-beauty,face-cleansers",japan,biore,,SKIP,LOW,,L4:skincare-fallback
35961,Eucerin Baby Wash & Shampoo 400ml MX,"shampoos,hair-care,hair-personal-care,mother-baby-care,baby-bath-wash",germany,eucerin,,SKIP,SKIP,no-signal,
35965,Ponds Magic Powder BB 50gm.TH,,usa,ponds-magic,,SKIP,SKIP,no-signal,
35969,Mamy Poko Pants XXXL-24 Pcs (18-35Kg),,india,mamy-poko-pants,,SKIP,SKIP,no-signal,
35980,Twinkle Baby Pant Diaper Large 48pcs,"mother-baby-care,diapers-wipes",bangladesh,twinkle-baby-pant,,SKIP,SKIP,non-skin-product,
35982,Mamy Poko Pants XXXL-7 Pcs (18-35Kg) .IN,,india,mamy-poko-pants,,SKIP,SKIP,no-signal,
36059,M.A.C Amplified Lipstick,"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36063,M.A.C Matte Lipstick – Kinda Sexy,"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36066,M.A.C Amplified Lipstick – Vegas Volt (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36073,M.A.C Matte Lipstick – Pink Pigeon (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36075,Oral B 1-2-3 Salt Power White Toothpaste 100ml,"hair-personal-care,personal-hygiene",usa,oral-b,,SKIP,SKIP,non-skin-product,
36081,M.A.C Mineralize Skinfinish (10gm),,usa,m-a-c,,SKIP,SKIP,no-signal,
36086,MAC Air Of Style EDP For Women (50ml),,usa,mac-air-of,,SKIP,SKIP,non-skin-product,
36087,M.A.C Matte Lipstick – Please Me (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,mac-matte-lipstick,,SKIP,SKIP,non-skin-product,
36092,M.A.C Amplified Creme Lipstick – Girl About Town (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36093,M.A.C Amplified Lipstick – Fusion Pink (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36101,M.A.C Retro Matte Lipstick – Relentlessly Red (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36107,M.A.C PREP + PRIME SKIN (30ml),,usa,m-a-c,,SKIP,SKIP,no-signal,
36108,MAC PREP+PRIME HIGHLIGHTER (3.6ml),"makeup-cosmetics,face-makeup",usa,m-a-c,,SKIP,SKIP,no-signal,
36113,M.A.C Matte Lipstick – Sin (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36119,M.A.C Matte Lipstick – Candy Yum Yum 3.0 gm,"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36128,M.A.C Matte Lipstick,"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36130,M.A.C Satin Lipstick (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,mac-satin-lipstick,,SKIP,SKIP,non-skin-product,
36142,Beauty Formulas Activated Charcoal Toothpaste 125ml,"hair-personal-care,personal-hygiene",uk,beauty-formulas,,SKIP,SKIP,non-skin-product,
36150,Maybelline Fit Me Dewy+Smooth Foundation- Nude Beige 125 (30ml),"makeup-cosmetics,foundation",usa,maybelline,,SKIP,SKIP,makeup-only,
36171,Maybelline Master Smoky Scorching- Brown (0.5gm),,usa,maybelline,,SKIP,SKIP,no-signal,
36177,Clean & Clear Morning Burst Facial Cleanser 240ml,,usa,clean-clear,,SKIP,LOW,,L4:skincare-fallback
36180,Clean & Clear Deep Action Cream Wash 150ml,,usa,clean-clear,,SKIP,LOW,,L4:skincare-fallback
36189,Clean & Clear Morning Energy Daily Facial Scrub 150ml,,usa,clean-clear,,SKIP,LOW,,L4:skincare-fallback
36238,Botanics All Bright Radiance Concentrate Serum 25ml,serums-ampoules-essences,uk,botanics,,brightening,MED,,"L3:""radiance""→brightening"
36250,Athena Beaute 100% Cotton Wool Cosmetic Pads 80pcs,,china,athena,,SKIP,SKIP,no-signal,
36262,Athena Cotton Wool Pleat 130ge,,china,athena,,SKIP,SKIP,no-signal,
36265,Athena Beaute Cotton Wool Balls 100pcs,,china,athena,,SKIP,SKIP,no-signal,
36268,SebaMed Anti-Dry Derma-Soft Wash Emulsuion 200ml,,germany,sebamed,,SKIP,SKIP,no-signal,
36271,Seba Med Anti Dry Night Intensive Cream 50ml,,germany,sebamed,,SKIP,LOW,,L4:skincare-fallback
36316,Simple PROTECT N GLOW Radiance Booster 50ml,serums-ampoules-essences,uk,simple,,brightening,MED,,"L3:""radiance""→brightening|""glow""→brightening"
36319,Simple Refreshing Facial Wash 150ml,face-cleansers,uk,simple,,SKIP,LOW,,L4:skincare-fallback
36322,Simple Kind to Skin Smoothing Facial Scrub 75ml,,uk,simple,,SKIP,LOW,,L4:skincare-fallback
36360,Stives Fresh Skin Apricot Scrub 170ge,,usa,stives,,SKIP,LOW,,L4:skincare-fallback
36365,Stives Avocado And Honey Soft Skin Scrub 170ge,,usa,stives,,SKIP,LOW,,L4:skincare-fallback
36378,Stives Nourish & Smooth Oatmeal Scrub & Mask 150ml,,usa,stives,,SKIP,LOW,,L4:skincare-fallback
36391,Cetaphil Gentle Skin Cleanser Face & Body 473ml,,usa,cetaphil,,SKIP,LOW,,L4:skincare-fallback
36427,Cetaphil Gentle Foaming Facial Cleanser 236ml,,usa,cetaphil,,SKIP,LOW,,L4:skincare-fallback
36458,Cerave SA Smoothing Cream Anti Roughness 340ge,,usa,cerave,,SKIP,LOW,,L4:skincare-fallback
36571,Neutrogena Oil Balancing Facial Wash 200ml,face-cleansers,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36583,Neutrogena Deep Clean Gel Wash 200ml,,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36598,Neutrogena Clear And Soothe Mousse Cleanser 150ml,,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36604,Neutrogena Refreshingly Clear Facial Wash 200ml,face-cleansers,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36610,Neutrogena Clear & Soothe Micellar Jelly Makeup Remover 200ml,"makeup-cosmetics,makeup-remover",usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36616,Neutrogena Clear & Soothe Oil Free Toning Mist 125ml,,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36679,Neutrogena Clear & Defend Facial Scrub 150ml,,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36701,Neutrogena Deep Clean Invigorating Daily Scrub 150ml,,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36708,Neutrogena Oil Balancing Shower Mask 150ml,,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
36733,M.A.C Matte Lipstick – Russian Red (3gm),"makeup-cosmetics,lips,lipstick-tint",usa,m-a-c,,SKIP,SKIP,non-skin-product,
36819,M.A.C Pro Longwear Foundation- NW 22 (30ml),"makeup-cosmetics,foundation",usa,m-a-c,,SKIP,SKIP,makeup-only,
36938,The Body Shop Born Lippy Pot Lip Balm – Satsuma Shimmer,"makeup-cosmetics,face-makeup,lips,lip-balm-care",uk,the-body-shop,,SKIP,LOW,,L4:skincare-fallback
36941,The Body Shop Mascara Super Volume,"makeup-cosmetics,eyes,mascara-eyeliner",uk,the-body-shop,,SKIP,SKIP,non-skin-product,
36956,The Body Shop Shimmer Waves- Bronze,"makeup-cosmetics,face-makeup",uk,the-body-shop,,SKIP,SKIP,no-signal,
36962,L’Oreal Paris Infallible Primer Anti Redness 02,,france,loreal-paris,,SKIP,SKIP,no-signal,
36965,L’Oreal Infallible Pro-Matte 100 Porcelain,,france,loreal-paris,,pores-blackheads,MED,,"L3:""matte""→pores-blackheads"
36974,Neutrogena VISIBLY CLEAR Pink Grapefruit Daily Scrub,,usa,neutrogena,,SKIP,LOW,,L4:skincare-fallback
37074,Dove Body Cream Beauty 150ml,"body-lotion,hair-personal-care,bath-body",usa,dove,,SKIP,LOW,,L4:skincare-fallback
37122,"Nair Rose Hair Removal Spray, 200ml",,usa,nair,,SKIP,SKIP,no-signal,
37147,Maybelline Fit Me Concealer 10 Fair,"makeup-cosmetics,face-makeup",usa,maybelline,,SKIP,SKIP,no-signal,
37150,Eucerin Original Healing Cream 454gm,"mother-baby-care,baby-skincare",germany,eucerin,,SKIP,LOW,,L4:skincare-fallback
37161,Maybelline Age Rewind Concealer 110 Fair,"makeup-cosmetics,face-makeup",usa,maybelline,,SKIP,SKIP,no-signal,
37165,Eucerin Eczema Relief Body Cream 141gm,"body-lotion,hair-personal-care,bath-body",germany,eucerin,,SKIP,LOW,,L4:skincare-fallback
37175,Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer 110 Fair,"makeup-cosmetics,eye-care,face-makeup",usa,maybelline,,SKIP,LOW,,L4:skincare-fallback
37212,Freeman Feeling beautiful Polishing Gel Mask Scrub 175ml,,usa,freeman,,SKIP,LOW,,L4:skincare-fallback
37217,Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer 100 Ivory,"makeup-cosmetics,eye-care,face-makeup",usa,maybelline,,SKIP,LOW,,L4:skincare-fallback
37229,Maybelline Fit Me Set+Smooth Pressed Powder – Golden Beige 240,"makeup-cosmetics,face-makeup",usa,maybelline,,SKIP,SKIP,no-signal,
37230,Freeman Revitalizing Pomegranate Peel Off Gel Mask 175ml,wash-off-mask,usa,freeman,,SKIP,LOW,,L4:skincare-fallback
37241,Maybelline Master Fix By Face Studio,,usa,maybelline,,SKIP,SKIP,no-signal,
37242,Freeman Feeling Beautiful Sugar Body Scrub 175ml,"body-wash,hair-personal-care,bath-body",usa,freeman,,SKIP,LOW,,L4:skincare-fallback
37253,Maybelline Fit Me Dewy+Smooth Foundation- Ivory 115,"makeup-cosmetics,foundation",usa,maybelline,,SKIP,SKIP,makeup-only,
37254,Freeman 4-in-1 Apple Cider Vinegar Foaming Clay Mask 175ml,wash-off-mask,usa,freeman,,SKIP,LOW,,L4:skincare-fallback
37277,Maybelline Expert Wear Eyeshadow Quads 07Q Luminous Lilacs,"makeup-cosmetics,eyes",usa,maybelline,,SKIP,SKIP,non-skin-product,
37279,Hair Removal Spray With Baby Oil Lemon Fragrance 200ml,"mother-baby-care,baby-skincare",uk,boots,,SKIP,SKIP,no-signal,
37284,Maybelline Fit Me 104 Light Pink,,usa,maybelline,,SKIP,SKIP,no-signal,
37289,Maybelline Fit Me Set+Smooth Pressed Powder,"makeup-cosmetics,face-makeup",usa,maybelline,,SKIP,SKIP,no-signal,
