brand,product_id,product_title,current_pa_origin,proposed_pa_origin,current_custom_origin,proposed_custom_origin,actions,reasons,has_structured_description,structured_description_would_change,faq_would_change
BIOAQUA,74126,"Bioaqua Blueberry Moisturizing Sheet Mask 25g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Bath &amp; Body Works",62608,"Bath &#038; Body Works Cherry Blossom Fine Fragrance Mist 236 ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62610,"Bath &#038; Body Fiji Sunshine Guava-Tini Ultimate Hydration Body Cream 226g",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62612,"Bath &#038; Body Calypso Clementine Ultimate Hydration Body Cream 226g",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62614,"Bath &#038; Body Works Calypso Clementine Fine Fragrance Mist Travel Size 75ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62616,"Bath and Body Works Waikiki Beach Coconut Fine Fragrance Mist 75ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62618,"Bath and Body Works Fresh Cut Lilacs Body Lotion 236 mL",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62620,"Bath &#038; Body Works Dahlia Body Lotion 236ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62622,"Bath &#038; Body Works Cherry Blossom Body Lotion 236ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62624,"Bath &#038; Body Works works japanese cherry blossom lotion 296ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62626,"Bath &#038; Body Works Confetti Daydream Body Wash 295ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62628,"Bath &#038; Body Works Body Wash Cloud Nine 295ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62630,"Bath and Body Works Fiji Sunshine Guava Tini 295ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62743,"Bath and Body Works Tropidelic Fine Fragrance Mist 236ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62745,"Bath &#038; Body Works Fresh Cut Lilacs Fine Fragrance Mist 236ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62747,"Bath &#038; Body Works Japanese Cherry Blossom Body Wash 295 ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62749,"Bath &#038; Body Works Tropidelic Body Wash 295 ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62751,"Bath and Body Works Cherry Blossom Body Wash 295ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Bath &amp; Body Works",62753,"Bath and Body Works in The Stars Shower Gel 88ml",usa,malaysia,Korea,Malaysia,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_malaysia,yes,yes,yes
"Beauty Formulas",36142,"Beauty Formulas Activated Charcoal Toothpaste 125ml",uk,uk,Korea,UK,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_uk,yes,yes,yes
"Beauty Formulas",37986,"Beauty Formulas Argan OIl Wax Strips Hair Remover Legs &#038; Body 20pc",uk,uk,Korea,UK,sync_custom_origin,custom_origin_south-korea_vs_uk,yes,no,no
"Beauty Formulas",74130,"Beauty Formulas Hair Removal Wax Strips Face &#038; Bikini Line",uk,uk,Korea,UK,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_uk,yes,yes,yes
"Beauty Glazed",74132,"Beauty Glazed Long Stay Automatic Lip Crayon &#8211; B106 ESPRESSO 1.35g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74134,"Beauty Glazed Turquoise Green Liner 0.6g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74136,"Beauty Glazed Long Stay Automatic Lip Crayon &#8211; B108 NUDE 1.35g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74138,"Beauty Glazed Long Stay Automatic Lip Crayon &#8211; B109 BROWN 1.35g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74140,"Beauty Glazed Long Stay Automatic Lip Crayon B102 DARK BROWN 1.35g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74142,"Beauty Glazed Long Stay Automatic Lip Crayon-  B103 CINNAMON 1.35g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74144,"Beauty Glazed Matte Liquid Lipstick (106- Plum Mauve) 2.8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74146,"Beauty Glazed Matte Lipstick (107- Taro Rose) 8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74148,"Beauty Glazed Matte Lipstick (112- Red Wine) 8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74150,"Beauty Glazed Waterproof Silkworm Lively Eyeliner B207 0.6g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74152,"Beauty Glazed Lip Glow Oil #101 Meet 4g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74154,"Beauty Glazed Matte Liquid Lipstick (119- Tangerine Red) 2.8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74156,"Beauty Glazed Matte Liquid Lipstick (107- Taro Rose) 2.8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74158,"Beauty Glazed Soft Focus Powder Shade 102",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74160,"Beauty Glazed Soft Focus Powder Shade 101",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74162,"Beauty Glazed Lively Waterproof &#038; Long Lasting Lip Liner B117 Daring Red 0.6g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74167,"Beauty Glazed Lip Glow Oil #104 Love 4g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74169,"Beauty Glazed Lip Glow Oil #102 Kissy 4g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74171,"Beauty Glazed Nose Pore Strips",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74173,"Beauty Glazed Tint Blush #103 Stick 7g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74175,"Beauty Glazed Tint Blush Stick #104 7g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74177,"Beauty Glazed black Kajal Liner 0.6g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74179,"Beauty Glazed Nude Kajal Liner 0.6g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74181,"Beauty Glazed Matte Lipstick (116- Burgundy) 8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74183,"Beauty Glazed Matte Lipstick (101- Toffee) 8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74185,"Beauty Glazed Velvet Soft Mist Lipstick -112",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74187,"Beauty Glazed Velvet Soft Mist Lipstick -110",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74189,"Beauty Glazed Velvet Soft Mist Lipstick -109",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74201,"Beauty Glazed Full Coverage Concealer &#8211; Color 401",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74203,"Beauty Glazed Softly 6 Colors Concealer Palette &#8211; 401",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
"Beauty Glazed",74205,"Beauty Glazed Softly 6 Colors Concealer Palette &#8211; 402",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Bi-Es,60931,"BI-ES Desperado Eau De Toilette 90 ml",poland,poland,Korea,Poland,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_poland,yes,yes,yes
Bi-Es,61711,"BI-ES Viva La Dolce Eau De Parfum 100 ml Ship",poland,poland,Korea,Poland,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_poland,yes,yes,yes
Bi-Es,61713,"BI-ES Berry Darling Eau De Parfum 100 ml Ship",poland,poland,Korea,Poland,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_poland,yes,yes,yes
"Bio Oil",74215,"Bio Oil Specialist Skincare Oil 60ml",south-africa,south-africa,Korea,"South Africa",sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_south-africa,yes,yes,yes
Bioderma,38009,"Bioderma ABCDerm Cleansing Milk 500ml",france,france,Korea,France,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_france,yes,no,yes
Biore,62961,"Bioré Charcoal deep pore Charcoal Cleanser 200ml",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
Biore,62963,"Bioré Charcoal Acne Clearing Cleanser 200ml",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
"Blaze O Skin",74221,"Blaze O Skin Shower Gel Fruity Fling 250ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
"Blaze O Skin",74223,"Blaze O Skin Shower Gel On An Island 250",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_bangladesh,no,no,yes
"Blaze O Skin",74225,"Blaze O Skin Shower Gel Bella Ciao 250ml",bangladesh,bangladesh,Korea,Bangladesh,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_bangladesh,yes,yes,yes
Bob,74227,"BOB Super Curl Glamour Slim Longer Mascara 8g",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Bob,74229,"BOB Keen Black 24H Pencil Gel Eyeliner",china,china,Korea,China,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_china,yes,yes,yes
Boots,74231,"Boots Everyday Cucumber Moisturising Cream 100ml",uk,uk,Korea,UK,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_uk,yes,no,yes
Boots,74233,"Boots Whip Foam Brightening Cleanser 100ml",uk,uk,Korea,UK,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_uk,yes,no,yes
Boots,74235,"Boots Vitamin C Brightening Sheer Sunscreen SPF50+ PA++++",uk,uk,Korea,UK,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_uk,yes,no,yes
Botanics,36238,"Botanics All Bright Radiance Concentrate Serum 25ml",uk,uk,Korea,UK,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_uk,yes,no,yes
Botanics,36241,"Botanics All Bright Hydrating Night Cream 50ml",uk,uk,Korea,UK,sync_custom_origin,custom_origin_south-korea_vs_uk,yes,no,no
Botanics,36277,"Botanics All Bright Purifying Face Scrub 75ml",uk,uk,Korea,UK,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_uk,yes,no,yes
"By Phase",61690,"Byphasse Deodorant 48h Fleur De Coton 50 ml",spain,spain,Korea,Spain,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_spain,yes,yes,yes
Cetaphil,35940,"Cetaphil Baby Daily Lotion 399ml GR",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,35946,"Cetaphil Baby Gentle Wash 230ml GR",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,36391,"Cetaphil Gentle Skin Cleanser Face &#038; Body 473ml",usa,usa,UK,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_uk_vs_usa,yes,yes,yes
Cetaphil,36395,"Cetaphil Hydrating Gentle Skin Cleanser 591ml",usa,usa,Korea,USA,sync_custom_origin,custom_origin_south-korea_vs_usa,yes,no,no
Cetaphil,36398,"Cetaphil Moisturizing Cream For Very Dry To Dry Sensitive Skin 85gm",usa,usa,UK,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_uk_vs_usa,yes,yes,yes
Cetaphil,36423,"Cetaphil Gentle Exfoliating Cleanser 178ml",usa,usa,UK,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_uk_vs_usa,yes,yes,yes
Cetaphil,36427,"Cetaphil Gentle Foaming Facial Cleanser 236ml",usa,usa,UK,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_uk_vs_usa,yes,yes,yes
Cetaphil,36432,"Cetaphil Gentle Skin Cleanser 236ml",usa,usa,UK,USA,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_uk_vs_usa,yes,yes,yes
Cetaphil,59982,"Cetaphil Bright Healthy Radiance Brightening Day Protection Cream SPF 15 &#8211; 50g",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,60839,"Cetaphil Moisturising Cream",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,60849,"Cetaphil Moisturising Cream 453 g (Special Edition)",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,60854,"Cetaphil Moisturising Cream 453 g",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,61828,"cetaphil extra gentle daily scrub 178ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,61830,"Cetaphil Daily Hydrating Lotion 88ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,61832,"Cetaphil Very High Protection Light Gel Sun SPF50 Plus 50ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,61834,"Cetaphil Ceramide Serum 30ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,61836,"Cetaphil Gentle Exfoliating SA Cleanser 236ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,63423,"Cetaphil Oily Skin Cleanser 236ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,74275,"Cetaphil Gentle Skin Cleanser Normal to Dry Skin 59ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,74277,"Cetaphil Gentle Skin Cleanser Dry to Normal &#038; Sensitive Skin 125ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,74279,"Cetaphil Baby Calendula Advanced Protection Cream 85g",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,74281,"Cetaphil Gentle Skin Cleanser Dry To Normal &#038; Dry Skin 591ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cetaphil,74283,"Cetaphil Moisturising Lotion Nomal to Dry Sensitive Skin 236ml",usa,usa,Korea,USA,sync_custom_origin|sync_faq,custom_origin_south-korea_vs_usa,yes,no,yes
Cezanne,75101,"CEZANNE Watery Lip Tint 01 Natural Pink 4g",japan,japan,Korea,Japan,sync_custom_origin|sync_structured_description|sync_faq,custom_origin_south-korea_vs_japan,yes,yes,yes
"Clean &amp; Clear",33893,"Clean &#038; Clear Oil Free Micellar Water with Aloe Extract 100ml",usa,uk,Korea,UK,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_uk,yes,yes,yes
"Clean &amp; Clear",36174,"Clean &#038; Clear Blackhead Clearing Cleanser 200ml",usa,uk,Korea,UK,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_uk,yes,yes,yes
"Clean &amp; Clear",36177,"Clean &#038; Clear Morning Burst Facial Cleanser 240ml",usa,uk,Korea,UK,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_uk,yes,yes,yes
"Clean &amp; Clear",36180,"Clean &#038; Clear Deep Action Cream Wash 150ml",usa,uk,Korea,UK,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_uk,yes,yes,yes
"Clean &amp; Clear",36183,"Clean &#038; Clear Blackhead Clearing Daily Scrub 150ml",usa,uk,Korea,UK,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_uk,yes,yes,yes
"Clean &amp; Clear",36186,"Clean &#038; Clear Exfoliating Oil Free Face Wash 150ml",usa,uk,Korea,UK,set_pa_origin|sync_custom_origin|sync_structured_description|sync_faq,owner_brand_override|custom_origin_south-korea_vs_uk,yes,yes,yes
